date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:29:52	39036/39036	---MCZ	200	added ('OK')	text/html	date:Fri,%2002%20Aug%202019%2014:04:51%20GMT	http://webdesign-finder.com/html/nafta/shortcodes_pricing.html	webdesign-finder.com/html/nafta/shortcodes_pricing.html	(from http://webdesign-finder.com/html/nafta/)
14:29:53	38144/38144	---MCZ	200	added ('OK')	text/html	date:Fri,%2002%20Aug%202019%2014:04:51%20GMT	http://webdesign-finder.com/html/nafta/shortcodes_progress.html	webdesign-finder.com/html/nafta/shortcodes_progress.html	(from http://webdesign-finder.com/html/nafta/)
14:29:54	39330/39330	---MCZ	200	added ('OK')	text/html	date:Fri,%2002%20Aug%202019%2014:04:51%20GMT	http://webdesign-finder.com/html/nafta/shortcodes_tabs.html	webdesign-finder.com/html/nafta/shortcodes_tabs.html	(from http://webdesign-finder.com/html/nafta/)
14:29:56	38665/38665	---MCZ	200	added ('OK')	text/html	date:Fri,%2002%20Aug%202019%2014:04:50%20GMT	http://webdesign-finder.com/html/nafta/shortcodes_bootstrap.html	webdesign-finder.com/html/nafta/shortcodes_bootstrap.html	(from http://webdesign-finder.com/html/nafta/)
14:29:57	47905/47905	---MCZ	200	added ('OK')	text/html	date:Fri,%2002%20Aug%202019%2014:04:50%20GMT	http://webdesign-finder.com/html/nafta/shortcodes_animation.html	webdesign-finder.com/html/nafta/shortcodes_animation.html	(from http://webdesign-finder.com/html/nafta/)
14:29:58	57477/57477	---MCZ	200	added ('OK')	text/html	date:Fri,%2002%20Aug%202019%2014:04:51%20GMT	http://webdesign-finder.com/html/nafta/shortcodes_widgets_default.html	webdesign-finder.com/html/nafta/shortcodes_widgets_default.html	(from http://webdesign-finder.com/html/nafta/)
14:29:59	61971/61971	---MCZ	200	added ('OK')	text/html	date:Fri,%2002%20Aug%202019%2014:04:51%20GMT	http://webdesign-finder.com/html/nafta/shortcodes_widgets_shop.html	webdesign-finder.com/html/nafta/shortcodes_widgets_shop.html	(from http://webdesign-finder.com/html/nafta/)
14:29:59	60654/60654	---MCZ	200	added ('OK')	text/html	date:Fri,%2002%20Aug%202019%2014:04:51%20GMT	http://webdesign-finder.com/html/nafta/shortcodes_widgets_custom.html	webdesign-finder.com/html/nafta/shortcodes_widgets_custom.html	(from http://webdesign-finder.com/html/nafta/)
14:30:01	35961/35961	---MCZ	200	added ('OK')	text/html	date:Fri,%2002%20Aug%202019%2014:04:50%20GMT	http://webdesign-finder.com/html/nafta/services.html	webdesign-finder.com/html/nafta/services.html	(from http://webdesign-finder.com/html/nafta/)
14:30:02	36052/36052	---MCZ	200	added ('OK')	text/html	date:Fri,%2002%20Aug%202019%2014:04:50%20GMT	http://webdesign-finder.com/html/nafta/services2.html	webdesign-finder.com/html/nafta/services2.html	(from http://webdesign-finder.com/html/nafta/)
